,precision,recall,f1-score,support
WALKING,0.992,1.0,0.9959839357429718,496.0
WALKING_UPSTAIRS,0.9868995633187773,0.9596602972399151,0.9730893433799784,471.0
WALKING_DOWNSTAIRS,0.9652777777777778,0.9928571428571429,0.9788732394366197,420.0
SITTING,0.9546485260770975,0.8574338085539714,0.9034334763948498,491.0
STANDING,0.8937282229965157,0.9642857142857143,0.9276672694394213,532.0
LAYING,0.9907749077490775,1.0,0.995366079703429,537.0
accuracy,0.9623345775364778,0.9623345775364778,0.9623345775364778,0.9623345775364778
macro avg,0.9638881663198743,0.9623728271561239,0.9624022240162118,2947.0
weighted avg,0.9631897955171587,0.9623345775364778,0.962021134196216,2947.0
