,precision,recall,f1-score,support
WALKING,0.9937759336099585,0.9657258064516129,0.9795501022494888,496.0
WALKING_UPSTAIRS,0.980561555075594,0.9639065817409767,0.9721627408993576,471.0
WALKING_DOWNSTAIRS,0.969626168224299,0.9880952380952381,0.9787735849056604,420.0
SITTING,0.8820861678004536,0.7922606924643585,0.8347639484978541,491.0
STANDING,0.8305369127516778,0.9304511278195489,0.8776595744680851,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9395995928062436,0.9395995928062436,0.9395995928062436,0.9395995928062436
macro avg,0.9427644562436638,0.9400732410952891,0.940484991836741,2947.0
weighted avg,0.9412793661823091,0.9395995928062436,0.9394687477669457,2947.0
