,precision,recall,f1-score,support
Jogging,0.9895437262357415,0.9895437262357415,0.9895437262357415,1052.0
Walking,0.9916222391469917,0.9961744452945677,0.9938931297709923,1307.0
Upstairs,0.9629629629629629,0.9454545454545454,0.9541284403669725,385.0
Downstairs,0.9555555555555556,0.9616613418530351,0.9585987261146497,313.0
Sitting,0.989247311827957,0.983957219251337,0.9865951742627346,187.0
Standing,0.9867549668874173,0.9867549668874173,0.9867549668874173,151.0
accuracy,0.9840942562592047,0.9840942562592047,0.9840942562592047,0.9840942562592047
macro avg,0.9792811271027709,0.9772577074961074,0.978252360606418,3395.0
weighted avg,0.984055712373071,0.9840942562592047,0.9840625829198786,3395.0
