,precision,recall,f1-score,support
WALKING,0.9939879759519038,1.0,0.9969849246231156,496.0
WALKING_UPSTAIRS,0.9872881355932204,0.9893842887473461,0.9883351007423118,471.0
WALKING_DOWNSTAIRS,0.9928400954653938,0.9904761904761905,0.9916567342073898,420.0
SITTING,0.85,0.8309572301425662,0.8403707518022657,491.0
STANDING,0.85,0.8627819548872181,0.8563432835820896,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9440108585001696,0.9440108585001696,0.9440108585001696,0.9440108585001696
macro avg,0.9456860345017529,0.9455999440422201,0.9456151324928621,2947.0
weighted avg,0.9438661649243353,0.9440108585001696,0.9439100269529629,2947.0
