,precision,recall,f1-score,support
Jogging,0.9971181556195965,0.9866920152091255,0.9918776875298615,1052.0
Walking,0.9954163483575248,0.9969395562356542,0.996177370030581,1307.0
Upstairs,0.9392405063291139,0.9636363636363636,0.9512820512820512,385.0
Downstairs,0.9525316455696202,0.9616613418530351,0.9570747217806042,313.0
Sitting,0.9945652173913043,0.9786096256684492,0.9865229110512129,187.0
Standing,0.9866666666666667,0.9801324503311258,0.9833887043189369,151.0
accuracy,0.984977908689249,0.984977908689249,0.984977908689249,0.984977908689249
macro avg,0.9775897566556377,0.9779452254889588,0.977720574332208,3395.0
weighted avg,0.9851834548848132,0.984977908689249,0.985048190365549,3395.0
