,precision,recall,f1-score,support
Jogging,0.9952290076335878,0.9914448669201521,0.9933333333333333,1052.0
Walking,0.9938697318007663,0.9923488905891354,0.9931087289433385,1307.0
Upstairs,0.9629629629629629,0.9454545454545454,0.9541284403669725,385.0
Downstairs,0.9300911854103343,0.9776357827476039,0.9532710280373832,313.0
Sitting,0.9786096256684492,0.9786096256684492,0.9786096256684492,187.0
Standing,0.9932432432432432,0.9735099337748344,0.9832775919732442,151.0
accuracy,0.9837997054491899,0.9837997054491899,0.9837997054491899,0.9837997054491899
macro avg,0.9756676261198906,0.9765006075257867,0.97595479138712,3395.0
weighted avg,0.9840376044176853,0.9837997054491899,0.9838491820620192,3395.0
