,precision,recall,f1-score,support
Jogging,0.994280266920877,0.9914448669201521,0.9928605425987624,1052.0
Walking,0.9961685823754789,0.9946442234123948,0.9954058192955589,1307.0
Upstairs,0.9660574412532638,0.961038961038961,0.9635416666666666,385.0
Downstairs,0.9532710280373832,0.9776357827476039,0.9652996845425867,313.0
Sitting,0.9946236559139785,0.9893048128342246,0.9919571045576407,187.0
Standing,0.9933774834437086,0.9933774834437086,0.9933774834437086,151.0
accuracy,0.9879234167893962,0.9879234167893962,0.9879234167893962,0.9879234167893962
macro avg,0.982963076324115,0.9845743550661742,0.9837403835174875,3395.0
weighted avg,0.9880046386685228,0.9879234167893962,0.9879478698421114,3395.0
