,precision,recall,f1-score,support
WALKING,0.99375,0.9616935483870968,0.9774590163934426,496.0
WALKING_UPSTAIRS,0.9110671936758893,0.9787685774946921,0.9437052200614124,471.0
WALKING_DOWNSTAIRS,0.9796954314720813,0.919047619047619,0.9484029484029484,420.0
SITTING,0.9604938271604938,0.7922606924643585,0.8683035714285714,491.0
STANDING,0.8451612903225807,0.9849624060150376,0.9097222222222222,532.0
LAYING,0.9907749077490775,1.0,0.995366079703429,537.0
accuracy,0.9412962334577536,0.9412962334577536,0.9412962334577536,0.9412962334577536
macro avg,0.9468237750633538,0.9394554739014674,0.9404931763686711,2947.0
weighted avg,0.9456257653506237,0.9412962334577536,0.9407719476429259,2947.0
