,precision,recall,f1-score,support
Jogging,0.9961795606494747,0.9914448669201521,0.993806574559314,1052.0
Walking,0.9938884644766998,0.9954093343534812,0.9946483180428135,1307.0
Upstairs,0.973753280839895,0.9636363636363636,0.9686684073107049,385.0
Downstairs,0.956386292834891,0.9808306709265175,0.9684542586750788,313.0
Sitting,0.989247311827957,0.983957219251337,0.9865951742627346,187.0
Standing,0.9867549668874173,0.9867549668874173,0.9867549668874173,151.0
accuracy,0.9882179675994109,0.9882179675994109,0.9882179675994109,0.9882179675994109
macro avg,0.9827016462527225,0.9836722369958782,0.9831546166230106,3395.0
weighted avg,0.9882846217869814,0.9882179675994109,0.9882317188469539,3395.0
